# dataset: GeoCSV 2.0,,,,
# Event:,2024p826439,Depth: 5km,Magnitude: 4.2,
# Station:,Hawera High School HWHS,Lat: -39.585,Long: 174.274,
# Epicentral_distance_km:,111,,,
# Filtering:,Bandpass filter from 0.1 to 80 Hz,,,
# Component:,,HNZ: 0,HN1: 16,HN2: 106
# field_unit: UTF-8,UTC,m/s/s,m/s/s,m/s/s
# field_type: string,datetime,float,float,float
Stream,Time,Vertical,Horizontal 1,Horizontal 2
NZ_HWHS_21_HN,2024-11-01T18:46:16.535,-0.000295687,-7.94E-05,-0.000168324
NZ_HWHS_21_HN,2024-11-01T18:46:16.540,-0.000276649,-2.91E-05,1.30E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.545,-0.000127291,0.000120322,-0.000266653
NZ_HWHS_21_HN,2024-11-01T18:46:16.550,-0.00012336,-0.000128378,-0.000228631
NZ_HWHS_21_HN,2024-11-01T18:46:16.555,-0.000381743,4.78E-05,-0.00014337
NZ_HWHS_21_HN,2024-11-01T18:46:16.560,-0.000195107,0.000243185,-0.000141317
NZ_HWHS_21_HN,2024-11-01T18:46:16.565,6.50E-07,-7.21E-05,-2.13E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.570,-0.000230328,-6.30E-05,-0.00017198
NZ_HWHS_21_HN,2024-11-01T18:46:16.575,-0.000215908,0.000137824,-0.000156203
NZ_HWHS_21_HN,2024-11-01T18:46:16.580,-0.00013845,7.68E-05,-5.91E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.585,-4.51E-05,0.000105716,-0.000102409
NZ_HWHS_21_HN,2024-11-01T18:46:16.590,0.000133169,0.000152029,-1.69E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.595,0.000159419,7.77E-05,-3.03E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.600,0.000170949,8.84E-05,1.55E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.605,1.93E-05,5.32E-05,6.42E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.610,3.86E-07,2.97E-05,-7.10E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.615,2.75E-05,-6.58E-06,6.83E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.620,-0.000145807,-6.08E-05,0.000252118
NZ_HWHS_21_HN,2024-11-01T18:46:16.625,6.93E-05,0.000158106,0.000165597
NZ_HWHS_21_HN,2024-11-01T18:46:16.630,4.76E-05,0.00018873,0.000234527
NZ_HWHS_21_HN,2024-11-01T18:46:16.635,-0.000156492,4.33E-05,0.000323572
NZ_HWHS_21_HN,2024-11-01T18:46:16.640,0.000175073,1.91E-05,0.000165592
NZ_HWHS_21_HN,2024-11-01T18:46:16.645,0.00024235,1.35E-05,0.000135853
NZ_HWHS_21_HN,2024-11-01T18:46:16.650,0.00016656,0.00024082,0.000172432
NZ_HWHS_21_HN,2024-11-01T18:46:16.655,0.000370074,0.000163004,8.61E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.660,0.000336802,-7.22E-05,8.42E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.665,6.87E-05,9.47E-05,4.03E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.670,5.33E-05,6.38E-05,1.09E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.675,0.000179902,-3.91E-05,0.000119592
NZ_HWHS_21_HN,2024-11-01T18:46:16.680,7.05E-05,3.29E-05,0.000103907
NZ_HWHS_21_HN,2024-11-01T18:46:16.685,0.000139389,7.16E-05,0.000109939
NZ_HWHS_21_HN,2024-11-01T18:46:16.690,0.000223238,0.00014295,7.56E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.695,0.000156385,0.000261045,-0.000121353
NZ_HWHS_21_HN,2024-11-01T18:46:16.700,0.000359537,0.000276133,-4.84E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.705,0.00025809,9.46E-05,0.00010803
NZ_HWHS_21_HN,2024-11-01T18:46:16.710,4.35E-05,-0.000103536,0.000150874
NZ_HWHS_21_HN,2024-11-01T18:46:16.715,0.000253906,-0.000194219,0.000118134
NZ_HWHS_21_HN,2024-11-01T18:46:16.720,0.000186819,3.78E-06,-1.25E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.725,-8.37E-05,0.000110984,7.99E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.730,1.89E-05,-6.26E-05,3.23E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.735,-7.05E-06,5.35E-05,-7.26E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.740,-0.000338553,0.000105743,0.000100299
NZ_HWHS_21_HN,2024-11-01T18:46:16.745,-0.000262332,0.00010362,-2.31E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.750,2.59E-06,0.000220519,-2.18E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.755,-4.69E-05,6.48E-05,0.000121324
NZ_HWHS_21_HN,2024-11-01T18:46:16.760,-0.000223224,8.10E-05,-7.03E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.765,-0.000347136,9.60E-05,-4.67E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.770,-0.00018428,-0.000127149,-8.26E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.775,-9.24E-05,-7.17E-05,-0.00014253
NZ_HWHS_21_HN,2024-11-01T18:46:16.780,-0.000299068,-0.000135682,7.53E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.785,-0.000260959,-0.000251465,-4.59E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.790,-0.000267653,3.09E-05,-4.37E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.795,-0.000454918,8.02E-05,0.000131337
NZ_HWHS_21_HN,2024-11-01T18:46:16.800,-0.000225665,-6.85E-05,-0.000244842
NZ_HWHS_21_HN,2024-11-01T18:46:16.805,-4.64E-05,-8.36E-05,-0.000368727
